received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:21:59,ABEF16,,,,,,358.0,273.52,0.0,GS,1574871719
2019-11-27 16:22:00,ABEF16,,,,,,,,,,1574871720
2019-11-27 16:22:05,ABEF16,SWA2465,,,,,,,,,1574871725
2019-11-27 16:23:51,ABEF16,SWA2465,,,,,356.0,273.7,0.0,GS,1574871831
2019-11-27 16:24:21,ABEF16,SWA2465,41.43829,-86.7269,36000.0,,,,,,1574871861
2019-11-27 16:24:39,ABEF16,SWA2465,,,,,353.0,273.73,64.0,GS,1574871879
2019-11-27 16:24:40,ABEF16,SWA2465,41.44034,-86.76798000000001,36000.0,,,,,,1574871880
2019-11-27 16:24:45,ABEF16,SWA2465,41.44085,-86.77877,36000.0,,,,,,1574871885
2019-11-27 16:24:47,ABEF16,SWA2465,,,,,352.0,273.58,-64.0,GS,1574871887
2019-11-27 16:24:52,ABEF16,SWA2465,,,,,351.0,273.42,0.0,GS,1574871892
2019-11-27 16:24:58,ABEF16,SWA2465,41.44215,-86.80809,36000.0,,,,,,1574871898
2019-11-27 16:25:01,ABEF16,SWA2465,41.44243,-86.81441,36000.0,,,,,,1574871901
2019-11-27 16:25:02,ABEF16,SWA2465,,,,,350.0,273.27,0.0,GS,1574871902
2019-11-27 16:25:05,ABEF16,SWA2465,,,,,350.0,273.11,0.0,GS,1574871905
2019-11-27 16:25:14,ABEF16,SWA2465,41.4435,-86.84099,36000.0,,,,,,1574871914
2019-11-27 16:25:15,ABEF16,SWA2465,41.4436,-86.84303,36000.0,,,,,,1574871915
2019-11-27 16:25:17,ABEF16,SWA2465,41.44373,-86.84699,36000.0,,,,,,1574871917
2019-11-27 16:25:18,ABEF16,SWA2465,,,,,349.0,273.12,0.0,GS,1574871918
2019-11-27 16:25:24,ABEF16,SWA2465,41.44441,-86.86346999999999,36000.0,,,,,,1574871924
2019-11-27 16:26:12,ABEF16,SWA2465,41.4489,-86.96547,36000.0,,,,,,1574871972
2019-11-27 16:26:28,ABEF16,SWA2465,41.45032,-87.00023,36000.0,,,,,,1574871988
