received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:55:11,AC59AA,,41.98108,-87.91051,,,,,,,1574873711
2019-11-27 16:55:18,AC59AA,,41.98108,-87.91055,,,,,,,1574873718
2019-11-27 16:55:22,AC59AA,,41.98108,-87.91055,,,,,,,1574873722
2019-11-27 16:55:43,AC59AA,,41.9811,-87.91054,,,,,,,1574873743
2019-11-27 16:55:53,AC59AA,,41.9811,-87.91054,,,,,,,1574873753
2019-11-27 16:56:08,AC59AA,,,,,,,,,,1574873768
2019-11-27 16:56:13,AC59AA,UAL1420,41.9811,-87.91054,,,,,,,1574873773
2019-11-27 16:56:23,AC59AA,UAL1420,41.9811,-87.91054,,,,,,,1574873783
2019-11-27 16:57:28,AC59AA,UAL1420,41.9811,-87.91055,,,,,,,1574873848
2019-11-27 16:57:49,AC59AA,UAL1420,41.9811,-87.91055,,,,,,,1574873869
2019-11-27 16:58:14,AC59AA,UAL1420,41.9811,-87.91055,,,,,,,1574873894
2019-11-27 16:59:57,AC59AA,UAL1420,41.98128,-87.9106,,,,,,,1574873997
2019-11-27 16:59:58,AC59AA,UAL1420,41.98131,-87.9106,,,,,,,1574873998
2019-11-27 17:00:04,AC59AA,UAL1420,,,,,,,,,1574874004
2019-11-27 17:00:05,AC59AA,UAL1420,41.9816,-87.91056999999999,,,,,,,1574874005
2019-11-27 17:00:08,AC59AA,UAL1420,41.98174,-87.91048,,,,,,,1574874008
2019-11-27 17:00:10,AC59AA,UAL1420,41.98183,-87.91039,,,,,,,1574874010
2019-11-27 17:00:18,AC59AA,UAL1420,41.98209,-87.90984,,,,,,,1574874018
2019-11-27 17:00:18,AC59AA,UAL1420,41.98211,-87.9098,,,,,,,1574874018
2019-11-27 17:00:19,AC59AA,UAL1420,41.98212,-87.90977,,,,,,,1574874019
2019-11-27 17:00:20,AC59AA,UAL1420,,,,,,,,,1574874020
2019-11-27 17:00:20,AC59AA,UAL1420,41.98218,-87.90965,,,,,,,1574874020
2019-11-27 17:00:22,AC59AA,UAL1420,41.982240000000004,-87.90947,,,,,,,1574874022
2019-11-27 17:00:25,AC59AA,UAL1420,,,,,,,,,1574874025
2019-11-27 17:00:27,AC59AA,UAL1420,41.98243,-87.90902,,,,,,,1574874027
2019-11-27 17:00:38,AC59AA,UAL1420,41.98273,-87.90786,,,,,,,1574874038
2019-11-27 17:00:44,AC59AA,UAL1420,41.982820000000004,-87.90720999999999,,,,,,,1574874044
2019-11-27 17:00:45,AC59AA,UAL1420,41.98283,-87.90709,,,,,,,1574874045
2019-11-27 17:00:46,AC59AA,UAL1420,41.982859999999995,-87.90698,,,,,,,1574874046
2019-11-27 17:00:47,AC59AA,UAL1420,41.982859999999995,-87.9069,,,,,,,1574874047
2019-11-27 17:00:51,AC59AA,UAL1420,41.9829,-87.90637,,,,,,,1574874051
2019-11-27 17:00:52,AC59AA,UAL1420,41.9829,-87.90626,,,,,,,1574874052
2019-11-27 17:00:53,AC59AA,UAL1420,41.9829,-87.90605,,,,,,,1574874053
2019-11-27 17:00:54,AC59AA,UAL1420,41.9829,-87.90599,,,,,,,1574874054
2019-11-27 17:00:54,AC59AA,UAL1420,,,,,,,,,1574874054
2019-11-27 17:00:55,AC59AA,UAL1420,41.9829,-87.90581,,,,,,,1574874055
2019-11-27 17:01:05,AC59AA,UAL1420,41.9829,-87.90455,,,,,,,1574874065
2019-11-27 17:01:09,AC59AA,UAL1420,,,,,,,,,1574874069
2019-11-27 17:01:21,AC59AA,UAL1420,41.98291,-87.90225,,,,,,,1574874081
2019-11-27 17:01:23,AC59AA,UAL1420,41.98291,-87.90205,,,,,,,1574874083
2019-11-27 17:01:23,AC59AA,UAL1420,41.98291,-87.90199,,,,,,,1574874083
2019-11-27 17:01:38,AC59AA,UAL1420,41.982929999999996,-87.89985,,,,,,,1574874098
2019-11-27 17:02:59,AC59AA,UAL1420,41.97985,-87.8946,,,,,,,1574874179
2019-11-27 17:02:59,AC59AA,UAL1420,41.979820000000004,-87.89463,,,,,,,1574874179
2019-11-27 17:03:18,AC59AA,UAL1420,41.97842,-87.89526,,,,,,,1574874198
2019-11-27 17:03:21,AC59AA,UAL1420,41.97817,-87.89526,,,,,,,1574874201
2019-11-27 17:03:22,AC59AA,UAL1420,41.97813,-87.89526,,,,,,,1574874202
2019-11-27 17:03:22,AC59AA,UAL1420,41.97808,-87.89524,,,,,,,1574874202
2019-11-27 17:03:24,AC59AA,UAL1420,41.97789,-87.89526,,,,,,,1574874204
2019-11-27 17:03:25,AC59AA,UAL1420,41.97782,-87.89526,,,,,,,1574874205
2019-11-27 17:03:26,AC59AA,UAL1420,41.97777,-87.89526,,,,,,,1574874206
2019-11-27 17:03:26,AC59AA,UAL1420,41.97775,-87.89526,,,,,,,1574874206
2019-11-27 17:03:27,AC59AA,UAL1420,41.9777,-87.89526,,,,,,,1574874207
2019-11-27 17:03:28,AC59AA,UAL1420,41.97763,-87.89526,,,,,,,1574874208
2019-11-27 17:03:33,AC59AA,UAL1420,41.977270000000004,-87.89524,,,,,,,1574874213
2019-11-27 17:03:34,AC59AA,UAL1420,41.977140000000006,-87.89526,,,,,,,1574874214
2019-11-27 17:03:35,AC59AA,UAL1420,41.9771,-87.89526,,,,,,,1574874215
2019-11-27 17:03:36,AC59AA,UAL1420,41.977059999999994,-87.89526,,,,,,,1574874216
2019-11-27 17:03:38,AC59AA,UAL1420,41.97685,-87.89524,,,,,,,1574874218
2019-11-27 17:03:42,AC59AA,UAL1420,41.97661,-87.89524,,,,,,,1574874222
2019-11-27 17:03:42,AC59AA,UAL1420,41.97659,-87.89524,,,,,,,1574874222
2019-11-27 17:03:44,AC59AA,UAL1420,41.97643,-87.89526,,,,,,,1574874224
2019-11-27 17:03:46,AC59AA,UAL1420,41.97635,-87.89524,,,,,,,1574874226
2019-11-27 17:03:47,AC59AA,UAL1420,41.976290000000006,-87.89524,,,,,,,1574874227
2019-11-27 17:03:49,AC59AA,UAL1420,41.97618,-87.89524,,,,,,,1574874229
2019-11-27 17:03:51,AC59AA,UAL1420,41.9761,-87.89524,,,,,,,1574874231
2019-11-27 17:03:52,AC59AA,UAL1420,41.976040000000005,-87.89524,,,,,,,1574874232
2019-11-27 17:03:53,AC59AA,UAL1420,41.97595,-87.89524,,,,,,,1574874233
2019-11-27 17:03:54,AC59AA,UAL1420,41.9759,-87.89524,,,,,,,1574874234
2019-11-27 17:03:56,AC59AA,UAL1420,41.97576,-87.89524,,,,,,,1574874236
2019-11-27 17:03:58,AC59AA,UAL1420,41.97566,-87.89524,,,,,,,1574874238
2019-11-27 17:04:01,AC59AA,UAL1420,41.975429999999996,-87.89523,,,,,,,1574874241
2019-11-27 17:04:36,AC59AA,UAL1420,41.97316,-87.89634000000001,,,,,,,1574874276
2019-11-27 17:04:52,AC59AA,UAL1420,41.97258,-87.89769,,,,,,,1574874292
2019-11-27 17:04:52,AC59AA,UAL1420,41.972570000000005,-87.89774,,,,,,,1574874292
2019-11-27 17:04:54,AC59AA,UAL1420,41.97251,-87.89787,,,,,,,1574874294
2019-11-27 17:04:56,AC59AA,UAL1420,41.97245,-87.89803,,,,,,,1574874296
2019-11-27 17:04:56,AC59AA,UAL1420,41.972429999999996,-87.89808000000001,,,,,,,1574874296
2019-11-27 17:04:57,AC59AA,UAL1420,41.972409999999996,-87.89813000000001,,,,,,,1574874297
2019-11-27 17:04:57,AC59AA,UAL1420,41.9724,-87.89816,,,,,,,1574874297
2019-11-27 17:04:58,AC59AA,UAL1420,,,,,,,,,1574874298
2019-11-27 17:04:59,AC59AA,UAL1420,41.97234,-87.89829,,,,,,,1574874299
2019-11-27 17:04:59,AC59AA,UAL1420,41.97233,-87.89832,,,,,,,1574874299
2019-11-27 17:05:01,AC59AA,UAL1420,41.97229,-87.89845,,,,,,,1574874301
2019-11-27 17:05:02,AC59AA,UAL1420,41.97224,-87.89858000000001,,,,,,,1574874302
2019-11-27 17:05:04,AC59AA,UAL1420,41.9722,-87.89871,,,,,,,1574874304
2019-11-27 17:05:06,AC59AA,UAL1420,41.972159999999995,-87.89886,,,,,,,1574874306
2019-11-27 17:05:06,AC59AA,UAL1420,41.97215,-87.89891,,,,,,,1574874306
2019-11-27 17:05:07,AC59AA,UAL1420,41.97215,-87.89896,,,,,,,1574874307
2019-11-27 17:05:07,AC59AA,UAL1420,41.97214,-87.89901,,,,,,,1574874307
2019-11-27 17:05:08,AC59AA,UAL1420,41.97211,-87.89914,,,,,,,1574874308
2019-11-27 17:05:09,AC59AA,UAL1420,41.97211,-87.89918,,,,,,,1574874309
2019-11-27 17:05:10,AC59AA,UAL1420,41.9721,-87.89923,,,,,,,1574874310
2019-11-27 17:05:11,AC59AA,UAL1420,41.97209,-87.89938000000001,,,,,,,1574874311
2019-11-27 17:05:12,AC59AA,UAL1420,41.97209,-87.89943000000001,,,,,,,1574874312
2019-11-27 17:05:12,AC59AA,UAL1420,41.97208,-87.89949,,,,,,,1574874312
2019-11-27 17:05:13,AC59AA,UAL1420,41.97209,-87.89958,,,,,,,1574874313
2019-11-27 17:05:16,AC59AA,UAL1420,41.97208,-87.89985,,,,,,,1574874316
2019-11-27 17:05:17,AC59AA,UAL1420,41.97208,-87.89996,,,,,,,1574874317
2019-11-27 17:05:21,AC59AA,UAL1420,41.97208,-87.90035,,,,,,,1574874321
2019-11-27 17:05:22,AC59AA,UAL1420,41.97208,-87.90043,,,,,,,1574874322
2019-11-27 17:05:23,AC59AA,UAL1420,41.97207,-87.90054,,,,,,,1574874323
2019-11-27 17:05:24,AC59AA,UAL1420,41.97207,-87.90059000000001,,,,,,,1574874324
2019-11-27 17:05:24,AC59AA,UAL1420,41.97207,-87.90061999999999,,,,,,,1574874324
2019-11-27 17:05:29,AC59AA,UAL1420,41.97207,-87.90105,,,,,,,1574874329
2019-11-27 17:05:29,AC59AA,UAL1420,41.97207,-87.90108000000001,,,,,,,1574874329
2019-11-27 17:05:30,AC59AA,UAL1420,41.97208,-87.90113000000001,,,,,,,1574874330
2019-11-27 17:05:31,AC59AA,UAL1420,41.97208,-87.90126,,,,,,,1574874331
2019-11-27 17:05:32,AC59AA,UAL1420,41.97207,-87.90139,,,,,,,1574874332
2019-11-27 17:05:33,AC59AA,UAL1420,41.97207,-87.90148,,,,,,,1574874333
2019-11-27 17:05:40,AC59AA,UAL1420,41.97208,-87.90219,,,,,,,1574874340
2019-11-27 17:05:43,AC59AA,UAL1420,,,,,,,,,1574874343
2019-11-27 17:06:04,AC59AA,UAL1420,41.97211,-87.90442,,,,,,,1574874364
2019-11-27 17:06:05,AC59AA,UAL1420,41.97211,-87.90451,,,,,,,1574874365
2019-11-27 17:06:10,AC59AA,UAL1420,41.97213,-87.90496,,,,,,,1574874370
2019-11-27 17:06:11,AC59AA,UAL1420,41.97213,-87.90504,,,,,,,1574874371
2019-11-27 17:06:14,AC59AA,UAL1420,41.972159999999995,-87.90534,,,,,,,1574874374
2019-11-27 17:06:19,AC59AA,UAL1420,41.97218,-87.9058,,,,,,,1574874379
2019-11-27 17:06:25,AC59AA,UAL1420,41.97221,-87.90632,,,,,,,1574874385
2019-11-27 17:06:28,AC59AA,UAL1420,41.97225,-87.90664,,,,,,,1574874388
2019-11-27 17:06:30,AC59AA,UAL1420,41.97226,-87.90675999999999,,,,,,,1574874390
2019-11-27 17:06:31,AC59AA,UAL1420,41.97227,-87.90685,,,,,,,1574874391
2019-11-27 17:06:32,AC59AA,UAL1420,41.97231,-87.90698,,,,,,,1574874392
2019-11-27 17:06:33,AC59AA,UAL1420,41.97231,-87.90701999999999,,,,,,,1574874393
2019-11-27 17:06:35,AC59AA,UAL1420,41.97237,-87.9072,,,,,,,1574874395
2019-11-27 17:06:37,AC59AA,UAL1420,41.972429999999996,-87.90735,,,,,,,1574874397
2019-11-27 17:06:37,AC59AA,UAL1420,41.97244,-87.90739,,,,,,,1574874397
2019-11-27 17:06:39,AC59AA,UAL1420,41.97251,-87.90754,,,,,,,1574874399
2019-11-27 17:06:44,AC59AA,UAL1420,,,,,,,,,1574874404
2019-11-27 17:06:44,AC59AA,UAL1420,41.97271,-87.90786999999999,,,,,,,1574874404
2019-11-27 17:06:47,AC59AA,UAL1420,41.97282,-87.90805999999999,,,,,,,1574874407
2019-11-27 17:06:49,AC59AA,UAL1420,41.97291,-87.90819,,,,,,,1574874409
2019-11-27 17:06:49,AC59AA,UAL1420,,,,,,,,,1574874409
2019-11-27 17:06:49,AC59AA,UAL1420,41.97293,-87.90823,,,,,,,1574874409
2019-11-27 17:06:51,AC59AA,UAL1420,41.97299,-87.90831,,,,,,,1574874411
2019-11-27 17:06:51,AC59AA,UAL1420,41.973009999999995,-87.90834,,,,,,,1574874411
2019-11-27 17:06:52,AC59AA,UAL1420,41.97303,-87.90836999999999,,,,,,,1574874412
2019-11-27 17:06:52,AC59AA,UAL1420,41.97306,-87.9084,,,,,,,1574874412
2019-11-27 17:06:53,AC59AA,UAL1420,41.973079999999996,-87.90841999999999,,,,,,,1574874413
2019-11-27 17:06:53,AC59AA,UAL1420,41.9731,-87.90845,,,,,,,1574874413
2019-11-27 17:06:54,AC59AA,UAL1420,,,,,,,,,1574874414
2019-11-27 17:06:54,AC59AA,UAL1420,41.97315,-87.90853,,,,,,,1574874414
2019-11-27 17:06:57,AC59AA,UAL1420,41.97325,-87.90867,,,,,,,1574874417
2019-11-27 17:06:57,AC59AA,UAL1420,41.973290000000006,-87.9087,,,,,,,1574874417
2019-11-27 17:06:58,AC59AA,UAL1420,41.97334,-87.90876,,,,,,,1574874418
2019-11-27 17:06:59,AC59AA,UAL1420,,,,,,,,,1574874419
2019-11-27 17:06:59,AC59AA,UAL1420,41.97339,-87.90884,,,,,,,1574874419
2019-11-27 17:07:00,AC59AA,UAL1420,41.973420000000004,-87.90886,,,,,,,1574874420
2019-11-27 17:07:02,AC59AA,UAL1420,41.9735,-87.90898,,,,,,,1574874422
2019-11-27 17:07:02,AC59AA,UAL1420,41.97352,-87.90899999999999,,,,,,,1574874422
2019-11-27 17:07:03,AC59AA,UAL1420,41.97354,-87.90906,,,,,,,1574874423
2019-11-27 17:07:04,AC59AA,UAL1420,,,,,,,,,1574874424
2019-11-27 17:07:04,AC59AA,UAL1420,41.97359,-87.9091,,,,,,,1574874424
2019-11-27 17:07:08,AC59AA,UAL1420,41.97378,-87.90932,,,,,,,1574874428
2019-11-27 17:07:15,AC59AA,UAL1420,41.974140000000006,-87.90975999999999,,,,,,,1574874435
2019-11-27 17:07:19,AC59AA,UAL1420,41.974309999999996,-87.90996,,,,,,,1574874439
2019-11-27 17:07:54,AC59AA,UAL1420,41.97606,-87.91175,,,,,,,1574874474
2019-11-27 17:08:00,AC59AA,UAL1420,41.97631,-87.912,,,,,,,1574874480
2019-11-27 17:08:12,AC59AA,UAL1420,41.976440000000004,-87.9126,,,,,,,1574874492
2019-11-27 17:08:13,AC59AA,UAL1420,41.97643,-87.91268000000001,,,,,,,1574874493
2019-11-27 17:08:19,AC59AA,UAL1420,41.97635,-87.91296,,,,,,,1574874499
2019-11-27 17:08:20,AC59AA,UAL1420,41.97634,-87.91301,,,,,,,1574874500
2019-11-27 17:08:24,AC59AA,UAL1420,41.976290000000006,-87.91314,,,,,,,1574874504
2019-11-27 17:08:25,AC59AA,UAL1420,41.976279999999996,-87.9132,,,,,,,1574874505
2019-11-27 17:08:31,AC59AA,UAL1420,41.976209999999995,-87.91346999999999,,,,,,,1574874511
2019-11-27 17:08:32,AC59AA,UAL1420,41.9762,-87.91349,,,,,,,1574874512
2019-11-27 17:08:42,AC59AA,UAL1420,41.97615,-87.91366,,,,,,,1574874522
2019-11-27 17:08:43,AC59AA,UAL1420,41.97615,-87.91365,,,,,,,1574874523
2019-11-27 17:08:44,AC59AA,UAL1420,41.97615,-87.91366,,,,,,,1574874524
2019-11-27 17:08:44,AC59AA,UAL1420,41.97615,-87.91366,,,,,,,1574874524
2019-11-27 17:08:44,AC59AA,UAL1420,,,,,,,,,1574874524
2019-11-27 17:08:45,AC59AA,UAL1420,41.97615,-87.91365,,,,,,,1574874525
2019-11-27 17:08:45,AC59AA,UAL1420,41.97615,-87.91365,,,,,,,1574874525
2019-11-27 17:08:59,AC59AA,UAL1420,,,,,,,,,1574874539
2019-11-27 17:09:03,AC59AA,UAL1420,41.97615,-87.91366,,,,,,,1574874543
2019-11-27 17:09:05,AC59AA,UAL1420,41.97615,-87.91365,,,,,,,1574874545
2019-11-27 17:09:05,AC59AA,UAL1420,41.97615,-87.91366,,,,,,,1574874545
2019-11-27 17:09:27,AC59AA,UAL1420,41.97612,-87.9138,,,,,,,1574874567
2019-11-27 17:09:30,AC59AA,UAL1420,41.976079999999996,-87.91391,,,,,,,1574874570
2019-11-27 17:09:33,AC59AA,UAL1420,41.97602,-87.91402,,,,,,,1574874573
2019-11-27 17:09:37,AC59AA,UAL1420,41.97592,-87.91414,,,,,,,1574874577
2019-11-27 17:09:38,AC59AA,UAL1420,41.97586,-87.91418,,,,,,,1574874578
2019-11-27 17:09:39,AC59AA,UAL1420,41.97583,-87.91419,,,,,,,1574874579
2019-11-27 17:09:43,AC59AA,UAL1420,,,,,,,,,1574874583
2019-11-27 17:09:47,AC59AA,UAL1420,41.97549,-87.91415,,,,,,,1574874587
2019-11-27 17:09:49,AC59AA,UAL1420,41.97541,-87.91408,,,,,,,1574874589
2019-11-27 17:09:49,AC59AA,UAL1420,41.97538,-87.91403000000001,,,,,,,1574874589
2019-11-27 17:09:51,AC59AA,UAL1420,41.97532,-87.91396,,,,,,,1574874591
2019-11-27 17:09:53,AC59AA,UAL1420,41.975229999999996,-87.91386,,,,,,,1574874593
2019-11-27 17:09:54,AC59AA,UAL1420,41.9752,-87.91381,,,,,,,1574874594
2019-11-27 17:09:55,AC59AA,UAL1420,41.97515,-87.91377,,,,,,,1574874595
2019-11-27 17:09:56,AC59AA,UAL1420,41.97513,-87.91374,,,,,,,1574874596
2019-11-27 17:10:02,AC59AA,UAL1420,41.97485,-87.91342,,,,,,,1574874602
2019-11-27 17:10:06,AC59AA,UAL1420,41.97467,-87.91324,,,,,,,1574874606
2019-11-27 17:10:08,AC59AA,UAL1420,41.97455,-87.9131,,,,,,,1574874608
2019-11-27 17:10:11,AC59AA,UAL1420,41.97443,-87.91295,,,,,,,1574874611
2019-11-27 17:10:12,AC59AA,UAL1420,41.97438,-87.9129,,,,,,,1574874612
