received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:00:41,71C043,,42.26372,-88.17551999999999,9825.0,,,,,,1574874041
2019-11-27 17:00:47,71C043,,42.25502,-88.17196,9750.0,,,,,,1574874047
2019-11-27 17:00:53,71C043,,42.24788,-88.16905,9675.0,,,,,,1574874053
2019-11-27 17:00:56,71C043,,,,,,,,,,1574874056
2019-11-27 17:01:12,71C043,KAL8235,,,,,311.0,163.19,-768.0,GS,1574874072
2019-11-27 17:01:13,71C043,KAL8235,42.220279999999995,-88.15767,9400.0,,,,,,1574874073
2019-11-27 17:01:13,71C043,KAL8235,,,,,311.0,163.19,-768.0,GS,1574874073
2019-11-27 17:01:14,71C043,KAL8235,42.218740000000004,-88.15704000000001,9400.0,,,,,,1574874074
2019-11-27 17:01:20,71C043,KAL8235,42.21054,-88.15359000000001,9300.0,,,,,,1574874080
2019-11-27 17:01:21,71C043,KAL8235,,,,,309.0,162.5,-768.0,GS,1574874081
2019-11-27 17:01:21,71C043,KAL8235,42.20915,-88.15305,9300.0,,,,,,1574874081
2019-11-27 17:01:21,71C043,KAL8235,,,,,309.0,162.5,-768.0,GS,1574874081
2019-11-27 17:01:22,71C043,KAL8235,,,,,309.0,162.33,-832.0,GS,1574874082
2019-11-27 17:01:22,71C043,KAL8235,,,,,309.0,162.33,-832.0,GS,1574874082
2019-11-27 17:01:29,71C043,KAL8235,,,,,308.0,160.68,-832.0,GS,1574874089
2019-11-27 17:01:30,71C043,KAL8235,,,,,308.0,160.1,-832.0,GS,1574874090
2019-11-27 17:01:32,71C043,KAL8235,42.19441,-88.14618,9150.0,,,,,,1574874092
2019-11-27 17:01:33,71C043,KAL8235,,,,,307.0,159.27,-832.0,GS,1574874093
2019-11-27 17:01:35,71C043,KAL8235,42.19043,-88.14408,9100.0,,,,,,1574874095
2019-11-27 17:01:36,71C043,KAL8235,42.189009999999996,-88.14325,9100.0,,,,,,1574874096
2019-11-27 17:01:36,71C043,KAL8235,,,,,307.0,157.85,-832.0,GS,1574874096
2019-11-27 17:01:37,71C043,KAL8235,42.18783,-88.14254,9075.0,,,,,,1574874097
2019-11-27 17:01:39,71C043,KAL8235,42.18517,-88.141,9050.0,,,,,,1574874099
2019-11-27 17:01:39,71C043,KAL8235,,,,,308.0,156.34,-768.0,GS,1574874099
2019-11-27 17:01:39,71C043,KAL8235,42.18452,-88.14063,9050.0,,,,,,1574874099
2019-11-27 17:01:40,71C043,KAL8235,42.18401,-88.14031,9050.0,,,,,,1574874100
2019-11-27 17:01:41,71C043,KAL8235,,,,,309.0,155.34,-768.0,GS,1574874101
2019-11-27 17:01:41,71C043,KAL8235,42.18182,-88.1389,9025.0,,,,,,1574874101
2019-11-27 17:01:42,71C043,KAL8235,,,,,309.0,154.93,-768.0,GS,1574874102
2019-11-27 17:01:44,71C043,KAL8235,,,,,310.0,154.01,-768.0,GS,1574874104
2019-11-27 17:01:44,71C043,KAL8235,42.17754,-88.13609,8975.0,,,,,,1574874104
2019-11-27 17:01:46,71C043,KAL8235,,,,,311.0,152.86,-768.0,GS,1574874106
2019-11-27 17:01:46,71C043,KAL8235,42.1756,-88.13476,8950.0,,,,,,1574874106
2019-11-27 17:01:46,71C043,KAL8235,,,,,,,,,1574874106
2019-11-27 17:01:46,71C043,KAL8235,,,,,311.0,152.45,-768.0,GS,1574874106
2019-11-27 17:01:47,71C043,KAL8235,42.17432,-88.13382,8950.0,,,,,,1574874107
2019-11-27 17:01:47,71C043,KAL8235,42.173809999999996,-88.13345,8950.0,,,,,,1574874107
2019-11-27 17:01:49,71C043,KAL8235,,,,,312.0,151.55,-768.0,GS,1574874109
2019-11-27 17:01:49,71C043,KAL8235,,,,,313.0,150.98,-768.0,GS,1574874109
2019-11-27 17:01:52,71C043,KAL8235,42.1685,-88.12939,8900.0,,,,,,1574874112
2019-11-27 17:01:52,71C043,KAL8235,,,,,314.0,150.01,-768.0,GS,1574874112
2019-11-27 17:01:52,71C043,KAL8235,,,,,314.0,150.01,-768.0,GS,1574874112
2019-11-27 17:01:52,71C043,KAL8235,42.16754,-88.12858,8875.0,,,,,,1574874112
2019-11-27 17:01:53,71C043,KAL8235,,,,,313.0,149.35,-768.0,GS,1574874113
2019-11-27 17:01:53,71C043,KAL8235,42.16626,-88.12758000000001,8875.0,,,,,,1574874113
2019-11-27 17:01:54,71C043,KAL8235,,,,,314.0,148.94,-768.0,GS,1574874114
2019-11-27 17:01:55,71C043,KAL8235,42.16418,-88.12581,8850.0,,,,,,1574874115
2019-11-27 17:01:56,71C043,KAL8235,,,,,314.0,147.72,-768.0,GS,1574874116
2019-11-27 17:01:56,71C043,KAL8235,42.16283,-88.1246,8825.0,,,,,,1574874116
2019-11-27 17:01:56,71C043,KAL8235,,,,,,,,,1574874116
2019-11-27 17:01:56,71C043,KAL8235,,,,,314.0,147.72,-768.0,GS,1574874116
2019-11-27 17:01:58,71C043,KAL8235,42.16041,-88.12241999999999,8800.0,,,,,,1574874118
2019-11-27 17:01:58,71C043,KAL8235,,,,,315.0,146.51,-768.0,GS,1574874118
2019-11-27 17:01:59,71C043,KAL8235,42.1593,-88.1214,8800.0,,,,,,1574874119
2019-11-27 17:02:00,71C043,KAL8235,,,,,316.0,145.56,-768.0,GS,1574874120
2019-11-27 17:02:05,71C043,KAL8235,,,,,318.0,142.91,-768.0,GS,1574874125
2019-11-27 17:02:06,71C043,KAL8235,,,,,319.0,142.38,-768.0,GS,1574874126
2019-11-27 17:02:06,71C043,KAL8235,,,,,,,,,1574874126
2019-11-27 17:02:07,71C043,KAL8235,42.15007,-88.11208,8700.0,,,,,,1574874127
2019-11-27 17:02:08,71C043,KAL8235,42.14891,-88.11086,8675.0,,,,,,1574874128
2019-11-27 17:02:08,71C043,KAL8235,,,,,319.0,141.48,-768.0,GS,1574874128
2019-11-27 17:02:09,71C043,KAL8235,42.1479,-88.10965999999999,8650.0,,,,,,1574874129
2019-11-27 17:02:10,71C043,KAL8235,,,,,320.0,140.45,-832.0,GS,1574874130
2019-11-27 17:02:11,71C043,KAL8235,,,,,320.0,140.06,-768.0,GS,1574874131
2019-11-27 17:02:13,71C043,KAL8235,42.14314,-88.10423,8600.0,,,,,,1574874133
2019-11-27 17:02:17,71C043,KAL8235,,,,,320.0,138.8,-832.0,GS,1574874137
2019-11-27 17:02:18,71C043,KAL8235,,,,,319.0,138.68,-832.0,GS,1574874138
2019-11-27 17:02:19,71C043,KAL8235,42.136340000000004,-88.09617,8525.0,,,,,,1574874139
2019-11-27 17:02:20,71C043,KAL8235,,,,,319.0,138.68,-832.0,GS,1574874140
2019-11-27 17:02:21,71C043,KAL8235,42.134240000000005,-88.09374,8500.0,,,,,,1574874141
2019-11-27 17:02:21,71C043,KAL8235,,,,,319.0,138.68,-832.0,GS,1574874141
2019-11-27 17:02:22,71C043,KAL8235,42.13313,-88.0924,8475.0,,,,,,1574874142
2019-11-27 17:02:22,71C043,KAL8235,,,,,318.0,138.81,-832.0,GS,1574874142
2019-11-27 17:02:23,71C043,KAL8235,,,,,318.0,138.81,-768.0,GS,1574874143
2019-11-27 17:02:24,71C043,KAL8235,42.13092,-88.08981,8450.0,,,,,,1574874144
2019-11-27 17:02:24,71C043,KAL8235,,,,,318.0,138.95,-832.0,GS,1574874144
2019-11-27 17:02:25,71C043,KAL8235,42.12982,-88.0885,8450.0,,,,,,1574874145
2019-11-27 17:02:25,71C043,KAL8235,42.129259999999995,-88.08787,8425.0,,,,,,1574874145
2019-11-27 17:02:26,71C043,KAL8235,42.12872,-88.08719,8425.0,,,,,,1574874146
2019-11-27 17:02:26,71C043,KAL8235,,,,,,,,,1574874146
2019-11-27 17:02:26,71C043,KAL8235,,,,,318.0,138.95,-832.0,GS,1574874146
2019-11-27 17:02:27,71C043,KAL8235,42.127590000000005,-88.08595,8425.0,,,,,,1574874147
2019-11-27 17:02:27,71C043,KAL8235,,,,,318.0,138.95,-768.0,GS,1574874147
2019-11-27 17:02:28,71C043,KAL8235,42.12647,-88.08461,8400.0,,,,,,1574874148
2019-11-27 17:02:28,71C043,KAL8235,,,,,317.0,139.09,-832.0,GS,1574874148
2019-11-27 17:02:29,71C043,KAL8235,,,,,316.0,138.97,-832.0,GS,1574874149
2019-11-27 17:02:29,71C043,KAL8235,,,,,316.0,138.97,-768.0,GS,1574874149
2019-11-27 17:02:30,71C043,KAL8235,42.12428,-88.08201,8375.0,,,,,,1574874150
2019-11-27 17:02:30,71C043,KAL8235,,,,,316.0,138.97,-832.0,GS,1574874150
2019-11-27 17:02:31,71C043,KAL8235,,,,,316.0,138.97,-832.0,GS,1574874151
2019-11-27 17:02:32,71C043,KAL8235,,,,,316.0,138.97,-768.0,GS,1574874152
2019-11-27 17:02:33,71C043,KAL8235,42.120979999999996,-88.07816,8350.0,,,,,,1574874153
2019-11-27 17:02:33,71C043,KAL8235,,,,,316.0,138.85,-768.0,GS,1574874153
2019-11-27 17:02:34,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874154
2019-11-27 17:02:34,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874154
2019-11-27 17:02:35,71C043,KAL8235,42.11898,-88.0758,8325.0,,,,,,1574874155
2019-11-27 17:02:35,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874155
2019-11-27 17:02:36,71C043,KAL8235,,,,,,,,,1574874156
2019-11-27 17:02:36,71C043,KAL8235,42.11735,-88.07388,8300.0,,,,,,1574874156
2019-11-27 17:02:37,71C043,KAL8235,42.11678,-88.07321,8300.0,,,,,,1574874157
2019-11-27 17:02:37,71C043,KAL8235,,,,,316.0,138.71,-704.0,GS,1574874157
2019-11-27 17:02:38,71C043,KAL8235,42.11568,-88.0719,8275.0,,,,,,1574874158
2019-11-27 17:02:38,71C043,KAL8235,,,,,316.0,138.71,-704.0,GS,1574874158
2019-11-27 17:02:39,71C043,KAL8235,42.11444,-88.07046,8275.0,,,,,,1574874159
2019-11-27 17:02:40,71C043,KAL8235,42.11334,-88.06915,8250.0,,,,,,1574874160
2019-11-27 17:02:40,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874160
2019-11-27 17:02:41,71C043,KAL8235,42.11215,-88.06772,8225.0,,,,,,1574874161
2019-11-27 17:02:42,71C043,KAL8235,42.11105,-88.06647,8225.0,,,,,,1574874162
2019-11-27 17:02:43,71C043,KAL8235,42.10991,-88.06515999999999,8200.0,,,,,,1574874163
2019-11-27 17:02:44,71C043,KAL8235,,,,,317.0,138.58,-768.0,GS,1574874164
2019-11-27 17:02:46,71C043,KAL8235,,,,,317.0,138.58,-768.0,GS,1574874166
2019-11-27 17:02:46,71C043,KAL8235,,,,,,,,,1574874166
2019-11-27 17:02:46,71C043,KAL8235,,,,,317.0,138.58,-768.0,GS,1574874166
2019-11-27 17:02:46,71C043,KAL8235,42.10652,-88.0611,8175.0,,,,,,1574874166
2019-11-27 17:02:47,71C043,KAL8235,,,,,317.0,138.58,-768.0,GS,1574874167
2019-11-27 17:02:47,71C043,KAL8235,42.10543,-88.05976,8150.0,,,,,,1574874167
2019-11-27 17:02:47,71C043,KAL8235,,,,,317.0,138.58,-768.0,GS,1574874167
2019-11-27 17:02:47,71C043,KAL8235,42.10496,-88.05925,8150.0,,,,,,1574874167
2019-11-27 17:02:48,71C043,KAL8235,42.10431,-88.05849,8150.0,,,,,,1574874168
2019-11-27 17:02:48,71C043,KAL8235,,,,,317.0,138.58,-768.0,GS,1574874168
2019-11-27 17:02:50,71C043,KAL8235,,,,,317.0,138.58,-768.0,GS,1574874170
2019-11-27 17:02:51,71C043,KAL8235,42.10091,-88.05445999999999,8100.0,,,,,,1574874171
2019-11-27 17:02:51,71C043,KAL8235,,,,,316.0,138.46,-768.0,GS,1574874171
2019-11-27 17:02:52,71C043,KAL8235,,,,,316.0,138.46,-768.0,GS,1574874172
2019-11-27 17:02:52,71C043,KAL8235,42.0998,-88.05311999999999,8075.0,,,,,,1574874172
2019-11-27 17:02:53,71C043,KAL8235,42.098690000000005,-88.05185999999999,8075.0,,,,,,1574874173
2019-11-27 17:02:53,71C043,KAL8235,,,,,316.0,138.46,-768.0,GS,1574874173
2019-11-27 17:02:54,71C043,KAL8235,,,,,316.0,138.46,-768.0,GS,1574874174
2019-11-27 17:02:55,71C043,KAL8235,42.0965,-88.04924,8050.0,,,,,,1574874175
2019-11-27 17:02:56,71C043,KAL8235,,,,,,,,,1574874176
2019-11-27 17:02:56,71C043,KAL8235,42.09531,-88.0478,8025.0,,,,,,1574874176
2019-11-27 17:02:57,71C043,KAL8235,,,,,315.0,138.59,-832.0,GS,1574874177
2019-11-27 17:02:58,71C043,KAL8235,42.092909999999996,-88.04494,8000.0,,,,,,1574874178
2019-11-27 17:02:59,71C043,KAL8235,42.09192,-88.04381,8000.0,,,,,,1574874179
2019-11-27 17:02:59,71C043,KAL8235,,,,,315.0,138.59,-832.0,GS,1574874179
2019-11-27 17:03:01,71C043,KAL8235,42.090720000000005,-88.04233,7975.0,,,,,,1574874181
2019-11-27 17:03:01,71C043,KAL8235,,,,,315.0,138.59,-768.0,GS,1574874181
2019-11-27 17:03:01,71C043,KAL8235,,,,,315.0,138.59,-768.0,GS,1574874181
2019-11-27 17:03:03,71C043,KAL8235,42.08797,-88.03913,7950.0,,,,,,1574874183
2019-11-27 17:03:04,71C043,KAL8235,,,,,315.0,138.59,-768.0,GS,1574874184
2019-11-27 17:03:04,71C043,KAL8235,42.08709,-88.03811,7925.0,,,,,,1574874184
2019-11-27 17:03:04,71C043,KAL8235,42.08652,-88.03744,7925.0,,,,,,1574874184
2019-11-27 17:03:05,71C043,KAL8235,,,,,315.0,138.59,-768.0,GS,1574874185
2019-11-27 17:03:05,71C043,KAL8235,,,,,315.0,138.59,-768.0,GS,1574874185
2019-11-27 17:03:06,71C043,KAL8235,,,,,,,,,1574874186
2019-11-27 17:03:06,71C043,KAL8235,,,,,315.0,138.73,-768.0,GS,1574874186
2019-11-27 17:03:07,71C043,KAL8235,42.08313,-88.03345,7900.0,,,,,,1574874187
2019-11-27 17:03:09,71C043,KAL8235,42.08189,-88.03201,7875.0,,,,,,1574874189
2019-11-27 17:03:09,71C043,KAL8235,,,,,315.0,138.73,-768.0,GS,1574874189
2019-11-27 17:03:10,71C043,KAL8235,42.0807,-88.03058,7850.0,,,,,,1574874190
2019-11-27 17:03:10,71C043,KAL8235,,,,,315.0,138.73,-768.0,GS,1574874190
2019-11-27 17:03:10,71C043,KAL8235,42.07973,-88.02942,7850.0,,,,,,1574874190
2019-11-27 17:03:13,71C043,KAL8235,42.0774,-88.02668,7825.0,,,,,,1574874193
2019-11-27 17:03:13,71C043,KAL8235,,,,,315.0,138.73,-768.0,GS,1574874193
2019-11-27 17:03:13,71C043,KAL8235,42.0764,-88.02552,7800.0,,,,,,1574874193
2019-11-27 17:03:14,71C043,KAL8235,,,,,315.0,138.73,-768.0,GS,1574874194
2019-11-27 17:03:14,71C043,KAL8235,42.075309999999995,-88.02425,7800.0,,,,,,1574874194
2019-11-27 17:03:15,71C043,KAL8235,42.074659999999994,-88.02342,7800.0,,,,,,1574874195
2019-11-27 17:03:16,71C043,KAL8235,,,,,,,,,1574874196
2019-11-27 17:03:16,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874196
2019-11-27 17:03:17,71C043,KAL8235,42.07301,-88.02152,7775.0,,,,,,1574874197
2019-11-27 17:03:18,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874198
2019-11-27 17:03:18,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874198
2019-11-27 17:03:18,71C043,KAL8235,42.07127,-88.0194,7750.0,,,,,,1574874198
2019-11-27 17:03:19,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874199
2019-11-27 17:03:20,71C043,KAL8235,42.06949,-88.01735,7725.0,,,,,,1574874200
2019-11-27 17:03:20,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874200
2019-11-27 17:03:20,71C043,KAL8235,42.068940000000005,-88.01671999999999,7725.0,,,,,,1574874200
2019-11-27 17:03:21,71C043,KAL8235,42.06848,-88.01616,7725.0,,,,,,1574874201
2019-11-27 17:03:21,71C043,KAL8235,42.06795,-88.01556,7700.0,,,,,,1574874201
2019-11-27 17:03:21,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874201
2019-11-27 17:03:22,71C043,KAL8235,42.06729,-88.01478,7700.0,,,,,,1574874202
2019-11-27 17:03:22,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874202
2019-11-27 17:03:22,71C043,KAL8235,42.06674,-88.01409,7700.0,,,,,,1574874202
2019-11-27 17:03:24,71C043,KAL8235,42.06507,-88.01218,7675.0,,,,,,1574874204
2019-11-27 17:03:24,71C043,KAL8235,,,,,316.0,138.71,-768.0,GS,1574874204
2019-11-27 17:03:24,71C043,KAL8235,42.06454,-88.01154,7675.0,,,,,,1574874204
2019-11-27 17:03:25,71C043,KAL8235,,,,,316.0,138.71,-832.0,GS,1574874205
2019-11-27 17:03:26,71C043,KAL8235,42.06288,-88.00956,7650.0,,,,,,1574874206
2019-11-27 17:03:28,71C043,KAL8235,,,,,317.0,138.83,-832.0,GS,1574874208
2019-11-27 17:03:31,71C043,KAL8235,,,,,317.0,138.83,-768.0,GS,1574874211
2019-11-27 17:03:33,71C043,KAL8235,42.055009999999996,-88.00036,7550.0,,,,,,1574874213
2019-11-27 17:03:33,71C043,KAL8235,,,,,318.0,138.7,-768.0,GS,1574874213
2019-11-27 17:03:34,71C043,KAL8235,42.05379,-87.99887,7550.0,,,,,,1574874214
2019-11-27 17:03:36,71C043,KAL8235,42.0518,-87.99653,7525.0,,,,,,1574874216
2019-11-27 17:03:36,71C043,KAL8235,,,,,,,,,1574874216
2019-11-27 17:03:39,71C043,KAL8235,42.048359999999995,-87.9925,7475.0,,,,,,1574874219
2019-11-27 17:03:43,71C043,KAL8235,,,,,318.0,138.81,-640.0,GS,1574874223
2019-11-27 17:03:44,71C043,KAL8235,,,,,318.0,138.81,-576.0,GS,1574874224
2019-11-27 17:03:45,71C043,KAL8235,42.04193,-87.9849,7425.0,,,,,,1574874225
2019-11-27 17:03:46,71C043,KAL8235,42.04081,-87.98363,7400.0,,,,,,1574874226
2019-11-27 17:03:46,71C043,KAL8235,,,,,318.0,138.95,-384.0,GS,1574874226
2019-11-27 17:03:47,71C043,KAL8235,,,,,319.0,139.07,-320.0,GS,1574874227
2019-11-27 17:03:48,71C043,KAL8235,42.03859,-87.98101,7400.0,,,,,,1574874228
2019-11-27 17:03:52,71C043,KAL8235,,,,,319.0,139.18,-64.0,GS,1574874232
2019-11-27 17:03:53,71C043,KAL8235,42.03268,-87.97415,7400.0,,,,,,1574874233
2019-11-27 17:03:53,71C043,KAL8235,,,,,320.0,139.05,-64.0,GS,1574874233
2019-11-27 17:03:56,71C043,KAL8235,42.02975,-87.97071,7375.0,,,,,,1574874236
2019-11-27 17:03:56,71C043,KAL8235,,,,,320.0,139.05,0.0,GS,1574874236
2019-11-27 17:03:56,71C043,KAL8235,,,,,,,,,1574874236
2019-11-27 17:03:57,71C043,KAL8235,42.02852,-87.96932,7375.0,,,,,,1574874237
2019-11-27 17:03:57,71C043,KAL8235,,,,,320.0,139.05,0.0,GS,1574874237
2019-11-27 17:03:58,71C043,KAL8235,42.02751,-87.96809,7375.0,,,,,,1574874238
2019-11-27 17:03:59,71C043,KAL8235,,,,,319.0,138.93,0.0,GS,1574874239
2019-11-27 17:04:01,71C043,KAL8235,,,,,319.0,138.93,0.0,GS,1574874241
2019-11-27 17:04:04,71C043,KAL8235,,,,,318.0,138.95,0.0,GS,1574874244
2019-11-27 17:04:04,71C043,KAL8235,42.02083,-87.96029,7375.0,,,,,,1574874244
2019-11-27 17:04:05,71C043,KAL8235,,,,,318.0,138.95,0.0,GS,1574874245
2019-11-27 17:04:05,71C043,KAL8235,42.01872,-87.95785,7375.0,,,,,,1574874245
2019-11-27 17:04:06,71C043,KAL8235,42.01762,-87.95654,7375.0,,,,,,1574874246
2019-11-27 17:04:07,71C043,KAL8235,42.016529999999996,-87.95523,7375.0,,,,,,1574874247
2019-11-27 17:04:08,71C043,KAL8235,42.01529,-87.95385999999999,7400.0,,,,,,1574874248
2019-11-27 17:04:08,71C043,KAL8235,,,,,316.0,138.97,64.0,GS,1574874248
2019-11-27 17:04:11,71C043,KAL8235,42.01222,-87.95024000000001,7400.0,,,,,,1574874251
2019-11-27 17:04:14,71C043,KAL8235,42.009159999999994,-87.94658000000001,7400.0,,,,,,1574874254
2019-11-27 17:04:15,71C043,KAL8235,,,,,316.0,138.85,64.0,GS,1574874255
2019-11-27 17:04:17,71C043,KAL8235,42.00595,-87.94287,7400.0,,,,,,1574874257
2019-11-27 17:04:17,71C043,KAL8235,,,,,315.0,138.98,0.0,GS,1574874257
2019-11-27 17:04:18,71C043,KAL8235,42.004940000000005,-87.94169000000001,7400.0,,,,,,1574874258
2019-11-27 17:04:20,71C043,KAL8235,42.00266,-87.939,7400.0,,,,,,1574874260
2019-11-27 17:04:20,71C043,KAL8235,,,,,315.0,138.98,0.0,GS,1574874260
2019-11-27 17:04:21,71C043,KAL8235,42.00166,-87.93783,7400.0,,,,,,1574874261
2019-11-27 17:04:21,71C043,KAL8235,,,,,315.0,138.98,0.0,GS,1574874261
